Classifier,Accuracy,Precision,Recall,False Alarm Rate,Training Time,Prediction Time
SVC,0.9,0.9025893958076449,0.8581477139507621,0.141852286049238,1.1240377909853123,0.08742554098716937
Random Forest,0.9985,0.9976580796252927,0.9988276670574443,0.0011723329425556857,0.21904579200781882,0.005631500011077151
KNN,0.9885,0.9859484777517564,0.9871043376318874,0.012895662368112544,0.005033708002883941,0.022272333008004352
